iri	label	definition	definitionXrefs	superClasses	part_of
http://purl.obolibrary.org/obo/CEPH_0000000	eyelid			anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0000002	cephalopod eye			eye	visual system
http://purl.obolibrary.org/obo/CEPH_0000004	accessory gland complex	The glandular complex in cirrates that forms sperm packets and is a counterpart of the spermatophore-forming complex of other cephalopods. 	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	male reproductive gland|	cirrate male reproductive system
http://purl.obolibrary.org/obo/CEPH_0000005	acetabulum	A sucker of the sepia or cuttlefish and related animals.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	sucker	collection of suckers|external covering of organism
http://purl.obolibrary.org/obo/CEPH_0000006	adult stage	A female that has mature eggs (these are frequently stored in the oviducts), or a male that has produced spermatophores (these are stored in Needham's sac).	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	life cycle stage	
http://purl.obolibrary.org/obo/CEPH_0000009	anal flap	A small flap on the lateral side of the anus.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|valve|ectoderm-derived structure	anus|organ
http://purl.obolibrary.org/obo/CEPH_0000011	anterior salivary gland	Glands on or in the buccal mass that aid in preliminary digestion.	http://tolweb.org/accessory/Cephalopod_Digestive_System?acc_id=1993	salivary gland|	buccal mass|exocrine system|mouth|foregut
http://purl.obolibrary.org/obo/CEPH_0000012	antitragus	Knob that projects inward from the posterior surface of the central depression in the funnel locking-apparatus of some squids.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	funnel-mantle locking-apparatus	funnel|skeletal element
http://purl.obolibrary.org/obo/CEPH_0000014	areolar spot	Circular spots, generally light colored but often with complex pigmentation and of unknown function that occur in lines along the aboral surfaces of some arms and portions of the head in some opisthoteuthid cirrates.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	spot	external covering of organism
http://purl.obolibrary.org/obo/CEPH_0000015	arm	One of the circumoral appendages of cephalopods. In decapodiforms each member of the fourth pair of arms is modified to form a tentacle.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	circumoral appendage	multi-cellular organism
